Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
644482c543f5042811b34c0a,5e5d1bacac3134016c38c61f,APPROVED,2023-04-23T00:58:56.099000Z,2023-04-23T01:07:42.480000Z,2023-04-23T01:07:42.951000,2023-04-23T01:07:42.883257Z,527,CTR530VA,1139,English,53,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644482c82606245226dd6eff,5e65b4f8d06ef13360de7288,APPROVED,2023-04-23T00:59:03.846000Z,2023-04-23T01:12:15.345000Z,2023-04-23T01:12:15.796000,2023-04-23T01:12:15.729835Z,792,CTR530VA,177,English,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644482d7368c0e8a92681040,5d84d4306981dc001a6162c3,APPROVED,2023-04-23T00:59:18.444000Z,2023-04-23T01:06:25.870000Z,2023-04-23T01:06:26.346000,2023-04-23T01:06:26.256066Z,428,CTR530VA,1685,English,56,Male,White,United States,United States,United States,English,No,Full-Time
644482ddf19d88a7e512585e,63e5ffdf639ebdcf35aacb09,APPROVED,2023-04-23T00:59:19.364000Z,2023-04-23T01:08:46.334000Z,2023-04-23T01:08:46.816000,2023-04-23T01:08:46.756047Z,567,CTR530VA,188,English,33,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
644482e6ba8cf9ae44dd6eb9,62f557535db76f7f4ab860c7,APPROVED,2023-04-23T00:59:20.608000Z,2023-04-23T01:11:31.370000Z,2023-04-23T01:11:31.785000,2023-04-23T01:11:31.710056Z,731,CTR530VA,1195,"English, Spanish",33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64448307e39bc8c302b7186e,5ef035131f1b2a546b44c391,APPROVED,2023-04-23T00:59:56.673000Z,2023-04-23T01:08:05.280000Z,2023-04-23T01:08:05.827000,2023-04-23T01:08:05.772041Z,489,CTR530VA,3590,English,71,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
64448307e6ba657bcf5464ba,62e12eafa1f5eeafaf30f23b,APPROVED,2023-04-23T00:59:56.918000Z,2023-04-23T01:04:26.263000Z,2023-04-23T01:04:26.837000,2023-04-23T01:04:26.763029Z,270,CTR530VA,808,English,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6444831993d36996a9813526,611145d764f3f83ee48ae655,APPROVED,2023-04-23T01:00:12.246000Z,2023-04-23T01:08:11.206000Z,2023-04-23T01:08:11.651000,2023-04-23T01:08:11.592345Z,479,CTR530VA,1460,English,26,Female,White,United States,United States,United States,English,No,Part-Time
64448348c20424d57b368a4c,63b70545b179c880f765bc4c,APPROVED,2023-04-23T01:01:02.798000Z,2023-04-23T01:05:09.966000Z,2023-04-23T01:05:10.838000,2023-04-23T01:05:10.740837Z,248,CTR530VA,657,English,49,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6444834e0a399c6eae813533,5aecad0e75deca000162634c,APPROVED,2023-04-23T01:01:12.404000Z,2023-04-23T01:09:06.788000Z,2023-04-23T01:09:07.197000,2023-04-23T01:09:07.144306Z,475,CTR530VA,2474,English,DATA_EXPIRED,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64448353e6ba657bcf5464ce,63deadc920f44ea6e63abbf1,APPROVED,2023-04-23T01:01:18.302000Z,2023-04-23T01:20:07.808000Z,2023-04-23T01:20:08.228000,2023-04-23T01:20:08.169932Z,1130,CTR530VA,152,English,76,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64448355d9336824c40e4653,5dcb5135735496bcb90f7c4c,APPROVED,2023-04-23T01:01:14.975000Z,2023-04-23T01:06:49.358000Z,2023-04-23T01:06:49.805000,2023-04-23T01:06:49.746366Z,335,CTR530VA,1232,English,51,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
